model_type,use_momentum,method,init_method,lr,cv_mse,cv_r2
normal,True,batch,zero,0.001,103.25337467838845,-175.54374835533602
normal,True,batch,zero,0.0001,158.34606849898776,-269.742657851852
normal,True,batch,xavier,0.01,4.5825977657986785,-6.836981558944498
normal,True,batch,xavier,0.001,104.83693581373251,-178.25334964306558
normal,True,batch,xavier,0.0001,152.82275570035895,-260.34029128069886
lasso,False,sto,zero,0.01,0.0996341964535294,0.8297873511763324
lasso,False,sto,zero,0.001,0.1754672241353262,0.6997707564525623
lasso,False,sto,zero,0.0001,1.526360207514301,-1.6110879694659026
lasso,False,sto,xavier,0.01,0.09090228827933948,0.8446246141693309
lasso,False,sto,xavier,0.001,0.1767003888091744,0.6976715142481925
lasso,False,sto,xavier,0.0001,1.510520268188275,-1.5831934374206185
lasso,False,mini,zero,0.01,0.12343957174161797,0.7889028174727405
lasso,False,mini,zero,0.001,0.981181471612406,-0.6788018420355799
lasso,False,mini,zero,0.0001,3.106296836411486,-4.312223298678535
lasso,False,mini,xavier,0.01,0.1226789544211765,0.7901820102527831
lasso,False,mini,xavier,0.001,0.9909692464257573,-0.6960800100016299
lasso,False,mini,xavier,0.0001,3.118760554084231,-4.334322214820077
lasso,False,batch,zero,0.01,1.223998373082738,-1.094078958086176
lasso,False,batch,zero,0.001,4.558335226055669,-6.794712381299448
lasso,False,batch,zero,0.0001,103.72976363655818,-176.35826685534553
lasso,False,batch,xavier,0.01,1.2206162984890045,-1.0882059587629984
lasso,False,batch,xavier,0.001,4.495096073670632,-6.688356635543054
lasso,False,batch,xavier,0.0001,103.16297233364871,-175.42173268346414
lasso,True,sto,zero,0.01,0.17418681083232004,0.7019664593599825
lasso,True,sto,zero,0.001,1.5263260639025475,-1.6110327428855877
lasso,True,sto,zero,0.0001,9.651431962923748,-15.502389774349595
lasso,True,sto,xavier,0.01,0.17603784623666704,0.6988462825552167
lasso,True,sto,xavier,0.001,1.5258696724389622,-1.6104629269091812
lasso,True,sto,xavier,0.0001,9.728524356434557,-15.632153928508542
lasso,True,mini,zero,0.01,0.9803948571035465,-0.6774535551501152
lasso,True,mini,zero,0.001,3.1082358351843893,-4.315539780832237
lasso,True,mini,zero,0.0001,87.38113518767356,-148.40498041525325
lasso,True,mini,xavier,0.01,0.9802094745025723,-0.6771920437237603
lasso,True,mini,xavier,0.001,3.1908306729303035,-4.458434769389554
lasso,True,mini,xavier,0.0001,88.47781036348299,-150.29422736930078
lasso,True,batch,zero,0.01,4.649942664781668,-6.9513830378640735
lasso,True,batch,zero,0.001,103.3195875995653,-175.65694121408865
lasso,True,batch,zero,0.0001,158.35507638061137,-269.75805741610594
lasso,True,batch,xavier,0.01,4.762492524249648,-7.144642325727243
lasso,True,batch,xavier,0.001,102.96511476075135,-174.99698890313707
lasso,True,batch,xavier,0.0001,160.31378277203194,-273.08235862452284
ridge,False,sto,zero,0.01,0.38745917885104886,0.33692063370655223
ridge,False,sto,zero,0.001,0.4142736371743194,0.291074630583216
ridge,False,sto,zero,0.0001,1.565817076431719,-1.6786345593224035
ridge,False,sto,xavier,0.01,0.38412784170568187,0.34245493939783106
ridge,False,sto,xavier,0.001,0.41497790525566974,0.2899497447787623
ridge,False,sto,xavier,0.0001,1.594619541923537,-1.7283305168400798
ridge,False,mini,zero,0.01,0.3811778614828046,0.347478108226206
ridge,False,mini,zero,0.001,1.071923936408627,-0.8340411904595406
ridge,False,mini,zero,0.0001,3.162810341708076,-4.408871972611101
ridge,False,mini,xavier,0.01,0.3729654866562162,0.36177949249284297
ridge,False,mini,xavier,0.001,1.062953724814696,-0.8188112069715846
ridge,False,mini,xavier,0.0001,3.0574151117817507,-4.2297096643597385
ridge,False,batch,zero,0.01,1.2877836550905999,-1.203214328366207
ridge,False,batch,zero,0.001,4.655721842780987,-6.961240681497327
ridge,False,batch,zero,0.0001,103.70597525891309,-176.3176124758752
ridge,False,batch,xavier,0.01,1.2894821484111996,-1.2061982199169434
ridge,False,batch,xavier,0.001,4.714701396369145,-7.063236492562496
ridge,False,batch,xavier,0.0001,105.36975891820778,-179.20012542360246
ridge,True,sto,zero,0.01,0.4107905508819652,0.29710686279355863
ridge,True,sto,zero,0.001,1.5643415041136441,-1.6761134897642986
ridge,True,sto,zero,0.0001,9.783298212692985,-15.727884802668564
ridge,True,sto,xavier,0.01,0.4082276438839507,0.30142550388083367
ridge,True,sto,xavier,0.001,1.5401911763741165,-1.6345004325548693
ridge,True,sto,xavier,0.0001,9.608427912865409,-15.42529144161827
